Date,Open,High,Low,Close,Volume
2024-01-02,14252.312229472718,14478.269617326863,14191.323730981112,14292.3046875,561277
2024-01-03,14097.341270805358,14372.289416157944,14122.336556746503,14146.33203125,853833
2024-01-04,14011.358346165269,14295.304811864637,13886.38190879759,13990.3623046875,864771
2024-01-05,14097.341565124641,14044.351557823109,13911.37663384002,13987.3623046875,1025653
2024-01-08,14496.266868908016,14496.266868908016,13854.887794737075,13969.3662109375,845030
2024-01-09,14197.32284017303,14108.339619555045,13853.3876953125,13853.3876953125,949557
2024-01-10,14495.266256930854,14495.266256930854,13737.409185420744,13794.3984375,741255
2024-01-11,13859.386749320653,13882.382413383153,13797.3984375,13797.3984375,813704
2024-01-12,13997.360733695652,13934.372610394023,13689.418797554348,13797.3984375,1005508
2024-01-15,13762.404610360732,13765.404044710975,13560.442697444432,13629.4296875,946281
2024-01-16,13697.41761564924,13629.430433323389,13297.493013732474,13405.47265625,1062060
2024-01-17,13264.498733211449,13374.47799458578,13165.51739797455,13278.49609375,859408
2024-01-18,13451.463087296373,13451.463087296373,13293.492880087155,13364.4794921875,753800
2024-01-19,13357.482250712785,13524.450778846694,13225.507126678796,13325.48828125,1217082
2024-01-22,13408.471967751475,13494.455756374742,13156.519470855392,13337.4853515625,849287
2024-01-23,13347.483321426093,13502.4541015625,13287.494632341031,13502.4541015625,801468
2024-01-24,13555.443542362937,13597.435622963265,13366.479179661463,13499.4541015625,920490
2024-01-25,13572.442113030209,13574.441736177616,13213.509758070515,13441.466796875,340029
2024-01-26,13283.495658651456,13637.428931507291,13297.49301972485,13576.4404296875,627340
2024-01-29,13576.439162145974,13680.419548983236,13445.4638671875,13445.4638671875,641433
2024-01-30,13583.439086694021,14297.304500200536,13556.444176099236,13866.3857421875,1688049
2024-01-31,13862.386409842407,14016.35738042414,13686.419586320426,13850.388671875,1551054
2024-02-01,13642.427646267799,13953.369016585812,13499.45460461032,13885.3818359375,975039
2024-02-02,13997.36083109319,13911.37704313076,13590.437555503553,13668.4228515625,857120
2024-02-05,13550.445382510916,13817.395055434283,13492.45631498449,13597.4365234375,1764151
2024-02-06,13717.413410175352,13839.390409886824,13612.433205505642,13698.4169921875,1311887
2024-02-07,13943.371051229136,13862.386320471243,13567.441930673984,13777.40234375,1463700
2024-02-08,13707.415536559289,13834.391595869503,13635.429109233814,13720.4130859375,532706
2024-02-09,13697.417119602775,13702.416176945695,13548.445210783737,13563.4423828125,852917
2024-02-12,13597.43620816016,13995.361179546024,13362.480508975039,13471.4599609375,1501035
2024-02-13,13472.4591391791,13797.397856821639,13396.473469822691,13478.4580078125,674368
2024-02-14,13497.454323850585,13530.448101086664,13402.472237867933,13493.455078125,572788
2024-02-15,13447.464429388903,13497.455003475852,13323.487805653274,13393.474609375,810295
2024-02-16,13448.464552993293,13604.435147764458,13311.490376816051,13462.4619140625,1372848
2024-02-19,13457.462808800616,13555.4443359375,13330.486748123225,13555.4443359375,2719916
2024-02-20,13347.483086860691,13643.427281146141,13397.47366021972,13537.447265625,691360
2024-02-21,13647.425915948275,13627.4296875,13431.466648706895,13627.4296875,943745
2024-02-22,13647.427238463242,13814.395762186565,13617.432892884202,13691.4189453125,834291
2024-02-23,13724.412260757897,13759.405662748612,13562.442800115165,13673.421875,510473
2024-02-26,13485.45682454439,13744.407989843694,13444.464555134076,13660.423828125,903479
2024-02-27,13774.403160544003,13773.403349034927,13555.444440056297,13597.4365234375,1077101
2024-02-28,13297.492501016812,13646.426702735223,13318.488541807892,13366.4794921875,718008
2024-02-29,13404.472969482962,13587.4384765625,13325.48785986939,13587.4384765625,1689858
2024-03-01,13452.463561197917,13564.442447771991,13412.471101707177,13497.455078125,901448
2024-03-04,13555.443062395949,13555.443062395949,13298.491530677718,13512.451171875,635958
2024-03-05,13397.473458655932,13514.451398556137,13232.504569053079,13365.4794921875,1066940
2024-03-06,13199.510679502744,13613.4326171875,13236.503702919015,13613.4326171875,1305744
2024-03-07,13494.454863198249,13571.440343265394,13253.500308702378,13410.470703125,1083317
2024-03-08,13511.45238629303,13498.454837009189,13340.48462263637,13476.458984375,847126
2024-03-11,13355.48208303356,13492.456259210801,13237.504325450242,13462.4619140625,825933
2024-03-12,13463.461950391345,13735.410684277165,13419.470243439227,13572.44140625,1151519
2024-03-13,13872.383349072803,13872.383349072803,13405.47141941392,13647.42578125,1375957
2024-03-14,13547.445220690704,13745.407888860205,13534.447671770484,13676.4208984375,1186387
2024-03-15,13647.426143433422,13817.394088076917,13333.4853515625,13333.4853515625,3438340
2024-03-18,13647.426887395892,13840.39050565724,12260.688345797496,12394.6630859375,3020949
2024-03-19,12797.587479496993,12900.568066246069,12427.657216417783,12800.5869140625,2433198
2024-03-20,12697.60552187328,13047.539532318606,12559.63154061198,12718.6015625,4410770
2024-03-22,12597.624323326772,12913.564742864173,12563.630733882874,12697.60546875,1526103
2024-03-25,12660.61235090229,12773.591044391347,12400.661374732772,12422.6572265625,1955014
2024-03-26,12398.661522750934,12578.627579850778,12421.65718560258,12514.6396484375,1251025
2024-03-27,12597.623983990768,12567.629641171743,12400.6611328125,12400.6611328125,1722114
2024-03-28,12398.661857847213,12442.653561882798,12013.734447535853,12060.7255859375,2799766
2024-04-02,12060.725551454128,12155.707639441207,11782.777967660359,11863.7626953125,1847245
2024-04-03,11897.75638303895,11883.759022588316,11367.856308836375,11589.814453125,2683958
2024-04-04,11497.831093528977,12097.717933191358,11558.819588894652,12015.7333984375,2590144
2024-04-05,12021.734206621484,11998.738540723922,11781.779432038222,11875.76171875,2311022
2024-04-08,11875.760844182016,12020.733509816499,11601.8124967072,11860.763671875,1980944
2024-04-09,11614.809890922936,11873.761062632415,11702.793300615731,11797.775390625,2264058
2024-04-10,11855.763491460491,11997.736709185858,11528.825166135177,11678.796875,1324075
2024-04-11,11837.767953973624,11836.768142491024,11348.860138982653,11523.8271484375,1974972
2024-04-12,11497.831866162553,11498.831677629176,11081.910296047456,11118.9033203125,2264404
2024-04-15,11198.887225759845,11406.84799202697,10947.9345703125,10947.9345703125,1677017
2024-04-16,10824.959784133856,11156.89722279022,10709.981454478791,11077.912109375,1693766
2024-04-17,11098.557934053246,11160.54987927048,10891.584826634415,10905.5830078125,1655384
2024-04-18,11096.558912394261,10988.572936314014,10755.603191622371,10933.580078125,1972120
2024-04-19,10799.596849879421,10958.576194304089,10764.10146165882,10883.5859375,1682706
2024-04-22,10798.597409480439,11202.544942205448,10728.606500344917,11142.552734375,1406882
2024-04-23,10899.584183304398,11365.523659446022,11052.564311737164,11284.5341796875,1965536
2024-04-24,11174.548385759696,11322.529162521725,10930.580078125,10930.580078125,1294466
2024-04-25,11317.529722783747,11188.54647918987,10893.584798103095,10997.5712890625,1531814
2024-04-26,10923.58076274342,11337.526981121066,11012.569200993687,11244.5390625,1818292
2024-04-29,11438.514865081059,11968.44606075352,11223.542776270531,11718.478515625,2346010
2024-04-30,11499.506397117873,12159.42068475354,11654.486267698978,12022.4384765625,2333762
2024-05-02,11963.44652582989,12319.40030461764,11756.473401647123,11852.4609375,2291497
2024-05-03,11852.46025866591,11972.444671610056,11733.475715829632,11734.4755859375,1215573
2024-05-06,11720.478063992989,11871.458458777404,11709.4794921875,11709.4794921875,1367668
2024-05-07,11748.47397502671,11852.460468082265,11650.48670272436,11698.48046875,4933256
2024-05-08,11598.493559464165,11925.451093424921,11659.485637664795,11774.470703125,1507711
2024-05-09,11753.47332565438,11797.467611177884,11637.488391092415,11698.48046875,2660939
2024-05-10,11698.480127992021,11870.457784574468,11701.47973828125,11748.4736328125,1871231
2024-05-13,11798.467428265949,11848.460934317924,11659.485481441461,11660.4853515625,1643726
2024-05-14,10998.572183827302,11420.517407606858,10719.6083984375,10719.6083984375,5189465
2024-05-15,10753.603174142132,11225.541872254182,10805.596420544307,11194.5458984375,3672104
2024-05-16,11230.541274193549,11725.476987399194,11149.551793850807,11623.490234375,2473244
2024-05-17,11623.490821472073,11697.481214658219,11383.521978706198,11620.4912109375,1767971
2024-05-20,11623.490333231532,11757.472931481254,11498.506566207538,11714.478515625,2013705
2024-05-21,11758.472410462735,11818.464616638565,11612.49137543488,11711.478515625,2352275
2024-05-22,11505.50494490751,11920.451025739754,11536.500917210642,11746.4736328125,1441916
2024-05-23,11628.489559962607,11871.458000467415,11627.489689837073,11698.48046875,2094932
2024-05-24,11693.480318892587,11834.461996957047,11560.497601285686,11767.470703125,1218966
2024-05-27,11692.481247996795,11848.460987580129,11642.487741720086,11698.48046875,929783
2024-05-28,11618.491363406603,11839.462670748502,11559.4990234375,11559.4990234375,1765622
2024-05-30,11509.50509338489,11516.504184311281,11016.56911814045,11082.560546875,2796318
2024-05-31,11082.561244330614,11103.558518431204,10892.585907230035,10967.576171875,2599281
2024-06-03,10968.574744262161,11519.503156667672,10943.577992338136,11408.517578125,2423941
2024-06-04,11332.528258059443,11498.506702636632,11288.533971545006,11324.529296875,2369763
2024-06-05,11244.539486247548,11320.529616156387,10802.59688861982,10954.5771484375,2001551
2024-06-06,10808.596052733124,11109.55696039942,10860.589299240259,10931.580078125,1739560
2024-06-07,11297.532942128926,11212.543978496662,10963.576308562146,11122.5556640625,942063
2024-06-10,10998.571019695892,11271.53555500289,10993.571669232395,11244.5390625,968668
2024-06-11,11208.543786494964,11597.4932541976,11275.535082988734,11515.50390625,1597824
2024-06-12,11598.49281624572,11845.460723626124,11536.500871883027,11678.482421875,1893448
2024-06-13,11698.480480938502,11871.45801283614,11633.488922711065,11856.4599609375,1535386
2024-06-14,11923.451039804027,12671.353880707458,11758.472471957683,12546.3701171875,3017811
2024-06-18,12703.350306342596,13618.231497236218,12548.37043247537,13295.2734375,4874415
2024-06-19,13298.27237673867,13742.714637750725,13119.295628209631,13568.2373046875,4024996
2024-06-20,13501.246378938245,13597.233911514568,13291.273651427542,13428.255859375,6050076
2024-06-21,13568.237636934964,13704.219974342712,13331.268416599401,13548.240234375,5928890
2024-06-24,13548.240463599348,13681.223192873053,13275.27591403753,13452.2529296875,1678728
2024-06-25,13691.22145848397,13738.215353799002,13423.256268176972,13569.2373046875,1903150
2024-06-26,13698.221498734058,13698.221498734058,13328.26953125,13328.26953125,1910595
2024-06-27,13617.23174681169,13495.24758695333,12980.314453125,12980.314453125,1229554
2024-06-28,12898.323929022199,13583.234928353999,12904.323149454303,13467.25,2986663
2024-07-01,13649.227222980422,14205.155018451605,13609.23241755084,14000.181640625,3839658
2024-07-02,13898.195038451928,14079.171534995798,13698.221009121684,13753.2138671875,1779404
2024-07-03,14026.178819007797,14071.172976895974,13764.212833081076,13914.193359375,1734225
2024-07-04,14098.168273365825,14025.177756773222,13803.206596724483,13950.1875,1016841
2024-07-05,13803.207016442915,14001.18130034409,13722.217536665163,13848.201171875,1286297
2024-07-08,14098.169374434901,14016.18002062613,13580.236627203889,13823.205078125,1677600
2024-07-09,13703.220641165735,13946.189091789834,13756.213760026136,13868.19921875,1289333
2024-07-10,13723.217762787965,13877.197765372252,13738.215814987732,13753.2138671875,965504
2024-07-11,13678.223646730088,13904.194300543026,13748.214557203122,13821.205078125,1607725
2024-07-12,13720.217206548701,13920.191222093792,13764.21148996862,13881.1962890625,793383
