Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,7094.607097667664,7277.468097508958,7105.598742466867,7181.541015625,1141340,,,,False,False,False,False
2024-01-03,7094.60720486111,7188.535807291666,7044.645182291666,7077.6201171875,1206039,,171.86935504209032,,False,False,False,False
2024-01-04,7163.554963799499,7163.554963799499,6914.744085575748,6948.71826171875,1764228,,143.890625,,False,False,False,False
2024-01-05,7019.663627931079,7015.666666434748,6899.754783041153,7012.6689453125,821249,,248.8108782237514,,False,False,False,False
2024-01-08,7184.538292491406,7079.618053171295,6938.725160370003,7048.6416015625,978293,,115.91188339359451,,False,False,False,False
2024-01-09,6944.720551239802,7107.596731074635,6944.720551239802,7073.62255859375,1404888,,140.89289280129196,,False,False,False,False
2024-01-10,7073.6227217217265,7239.496626483106,7043.645510017863,7079.6181640625,1899583,,162.87617983483233,,False,False,False,False
2024-01-11,7009.671275411626,7097.604428973455,6969.70166015625,6969.70166015625,2140518,,195.85111646524365,,False,False,False,False
2024-01-12,6885.766003967678,7076.620931664359,6938.7257483023595,6989.68701171875,1299853,,127.90276881720456,,False,False,False,False
2024-01-15,6996.681856836049,7020.663628410465,6974.698566226167,7022.662109375,3022715,,137.89518336199944,,False,False,False,False
2024-01-16,7064.6302130373915,7026.659074692919,6880.769964211525,6914.744140625,1048889,,45.965062184298404,,False,False,False,False
2024-01-17,6960.709262060296,6939.7252117440075,6799.83154296875,6799.83154296875,2808926,,145.8891104813938,,False,False,False,False
2024-01-18,6944.7213591496175,6894.759334983073,6707.901364600199,6788.83984375,1920832,,139.89366877525754,,False,False,False,False
2024-01-19,6801.830081604955,6799.831600605512,6684.918943137528,6729.884765625,1383375,,186.85797038287456,,False,False,False,False
2024-01-22,6644.949055965119,6730.8837354858715,6630.959689531508,6647.94677734375,1397425,,114.91265746798399,148.52995373084403,False,False,False,False
2024-01-23,6464.086209936437,6564.010250900054,6342.178879960823,6492.06494140625,5898303,,99.92404595436346,143.3910030817207,False,False,False,False
2024-01-24,6639.953329881289,6811.8227012491725,6513.049782417795,6791.837890625,5841012,,305.767897382927,154.9536653947869,False,False,False,False
2024-01-25,6791.837348090277,6989.686957465277,6812.821397569444,6978.6953125,5217054,,319.7577598429225,160.02129979615626,False,False,False,False
2024-01-26,6974.698242744263,7020.663302796733,6893.75976743448,7010.6708984375,1993759,,197.84906684027737,165.87395575663362,False,False,False,False
2024-01-29,7023.660588030134,7025.659068777902,6908.747945033482,6994.6826171875,1823913,,126.90353536225302,164.8747159395594,False,False,False,False
2024-01-30,6795.834309895833,7029.656575520833,6833.80544704861,6897.7568359375,1434855,,116.91112374441946,161.59149764738706,False,False,False,False
2024-01-31,6897.756296061878,6931.73046875,6765.856566802112,6931.73046875,3198822,,195.85112847222263,161.5914985050284,True,False,False,False
2024-02-01,6795.8339388507175,6995.682018217009,6835.803554723976,6955.71240234375,3095194,,165.87390194788804,164.30372230007723,False,False,False,False
2024-02-02,6955.71267206169,7021.662540809868,6857.787109375,6857.787109375,2570172,,159.87846349303254,165.87395659515101,False,False,False,False
2024-02-05,6844.796875852025,6960.708764552584,6814.8196632570525,6871.7763671875,1042876,,163.875431434868,174.29612582733458,False,False,False,False
2024-02-06,6954.713267762586,6958.710229410725,6805.826446369392,6887.76416015625,1658500,,145.88910129553187,174.29612517120157,False,False,False,False
2024-02-07,6873.775335389244,6914.744195507134,6756.8641979796585,6898.75634765625,2346701,,152.88378304133312,175.22399047592125,False,False,False,False
2024-02-08,6795.834255069999,6869.77804787623,6679.922363644015,6724.88818359375,2980084,,157.8799975274751,173.15413527196415,False,False,False,False
2024-02-09,6684.91851073045,6735.879772919875,6607.9769972287695,6650.9443359375,2929070,,218.8339840122353,180.5770871679821,False,False,False,False
2024-02-12,6644.948676996605,6683.919052696285,6566.008685194691,6660.9365234375,1533861,,127.90277569110549,182.57556786346368,False,False,False,False
2024-02-13,6664.933265777955,6664.933265777955,6555.016825112952,6634.9560546875,1501737,,117.91036750159401,169.15717287193988,False,False,False,False
2024-02-14,6614.971788194444,6755.864691840277,6587.992296006944,6708.900390625,1453307,,109.91644066500339,154.16850721637425,False,False,False,False
2024-02-15,6576.0008260593795,6756.863331684171,6669.929420140763,6713.89599609375,1565602,,167.87239583333303,152.02731643016392,False,False,False,False
2024-02-16,6741.875594476143,6812.821669355024,6741.875594476143,6799.83154296875,1427242,,86.9339115434077,149.1723433002464,False,False,False,False
2024-02-19,6693.912051604285,6830.807998920271,6724.888506836369,6781.84521484375,1550569,,98.92567326127391,147.887668265736,False,False,False,False
2024-02-20,6605.978361216166,6825.811251772445,6704.903161966491,6815.81884765625,1400457,,105.91949208390179,141.46397995228452,False,False,False,False
2024-02-21,6794.835656987477,6901.75439453125,6704.904008586172,6901.75439453125,1434783,,120.90808980595375,138.25213622786063,False,False,False,False
2024-02-22,6744.87288820475,6980.693629184945,6835.803767142029,6918.74072265625,1095847,,196.85038594507841,140.8929878315782,False,False,False,False
2024-02-23,6993.683640188038,6980.693514838353,6779.846192123994,6797.83251953125,884861,,144.88986204291632,139.53687573215308,False,False,False,False
2024-02-26,6695.9102111672455,6789.838812846057,6708.900336931337,6778.84716796875,963211,,200.8473227143586,143.462462976355,False,False,False,False
2024-02-27,6724.887856372435,6780.845318475979,6694.91064453125,6694.91064453125,1926699,,88.93218259991318,138.89449151625357,False,False,False,False
2024-02-28,6594.987148548368,6775.849674894922,6095.366910021977,6337.18310546875,6024443,,85.93467394472918,133.75553983177173,False,False,False,False
2024-02-29,6445.101402250613,6433.110515920845,6245.25329675447,6412.12646484375,5271702,,680.4827648729452,166.73045275039385,False,False,False,False
2024-03-01,6395.138943750988,6416.12299341017,6278.22780993554,6324.19287109375,3043715,,187.8572191663743,171.01291299862734,False,False,False,False
2024-03-04,6345.177028594315,6463.087404873705,6345.177028594315,6364.16259765625,2779423,,137.89518347463036,172.4403998538442,False,False,False,False
2024-03-05,6325.191947571386,6344.177515818441,6229.264865902057,6255.2451171875,3925833,,138.89453377995505,174.51026364776934,False,False,False,False
2024-03-06,6210.279458282059,6369.15869140625,6222.270343800866,6369.15869140625,1625819,,134.89773175419305,172.15493049925934,False,False,False,False
2024-03-07,6418.121090059636,6367.159829652811,6211.278327231932,6346.17578125,2234401,,146.8883476053843,176.43739021797197,False,False,False,False
2024-03-08,6418.121473941378,6446.100206818594,6326.191351630526,6369.15869140625,1442852,,157.88036417431795,180.64843956890368,False,False,False,False
2024-03-11,6370.157986710124,6380.150391395159,6303.208875320386,6335.1845703125,2146492,,119.90885518806863,181.64767979062987,False,False,False,False
2024-03-12,6407.129663799436,6449.09776203393,6272.232205188562,6291.2177734375,2264729,,76.94151607477306,178.50721023840268,False,False,False,False
