Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Ticker
186.0,245.0,249.0,4.980000019073486,4.460000038146973,,6.339120148658753,-96.71999645233154,-0.10441766645279216,2024-12-13,2024-12-19,6 days,,TH1.F
186.0,249.0,257.0,4.460000038146973,4.239999771118164,,5.663640173435212,-40.9200496673584,-0.04932741371011595,2024-12-19,2025-01-07,19 days,,TH1.F
185.0,257.0,268.0,4.239999771118164,3.700000047683716,,5.2999199008941655,-99.89994883537292,-0.12735843221332077,2025-01-07,2025-01-22,15 days,,TH1.F
185.0,268.0,278.0,3.700000047683716,3.299999952316284,,4.806300061941148,-74.00001764297485,-0.10810813248984708,2025-01-22,2025-02-05,14 days,,TH1.F
92.0,278.0,289.0,3.299999952316284,3.5799999237060547,,,25.759997367858887,0.08484847740474577,2025-02-05,2025-02-20,15 days,; partially_closed,TH1.F
93.0,278.0,296.0,3.299999952316284,3.200000047683716,,4.286699938058853,-9.299991130828857,-0.030303001841675226,2025-02-05,2025-03-03,26 days,; partially_closed,TH1.F
98.0,296.0,302.0,3.200000047683716,3.4000000953674316,,,19.60000467300415,0.0625000139698384,2025-03-03,2025-03-11,8 days,; partially_closed,TH1.F
97.0,296.0,304.0,3.200000047683716,3.059999942779541,,4.156800061941147,-13.580010175704956,-0.043750032130628336,2025-03-03,2025-03-13,10 days,; partially_closed,TH1.F
103.0,304.0,307.0,3.059999942779541,3.180000066757202,,,12.360012769699097,0.039215727523399746,2025-03-13,2025-03-18,5 days,; stop-loss tightened during volatility spike; partially_closed,TH1.F
103.0,304.0,308.0,3.059999942779541,2.9800000190734863,,3.689159888505936,-8.239992141723633,-0.02614376640588656,2025-03-13,2025-03-19,6 days,; stop-loss tightened during volatility spike; partially_closed,TH1.F
106.0,308.0,310.0,2.9800000190734863,3.180000066757202,,,21.200005054473877,0.06711410953141472,2025-03-19,2025-03-21,2 days,; partially_closed,TH1.F
106.0,308.0,313.0,2.9800000190734863,3.0999999046325684,,3.948959950447083,12.719987869262695,0.04026841771510825,2025-03-19,2025-03-26,7 days,; partially_closed,TH1.F
108.0,313.0,318.0,3.0999999046325684,3.640000104904175,,,58.320021629333496,0.17419361834967884,2025-03-26,2025-04-02,7 days,; partially_closed,TH1.F
107.0,313.0,319.0,3.0999999046325684,4.139999866485596,3.4100000500679015,3.9229799752235417,111.27999591827393,0.33548386898298777,2025-03-26,2025-04-03,8 days,; partially_closed,TH1.F
245.0,338.0,342.0,3.4000000953674316,4.312679913282395,3.086000049114227,4.312679913282395,223.60655538916598,0.2684352330338189,2025-05-05,2025-05-09,4 days,,TH1.F
400.0,403.0,404.0,2.640000104904175,2.5399999618530273,2.25999995470047,3.299459950447083,-40.000057220458984,-0.03787884055965873,2025-08-04,2025-08-05,1 days,; closed_due to volatility spike,TH1.F
405.0,405.0,406.0,2.5,2.299999952316284,2.0149999380111696,2.9876999380588534,-81.00001931190491,-0.0800000190734863,2025-08-06,2025-08-07,1 days,; closed_due to volatility spike,TH1.F
182.0,407.0,408.0,2.559999942779541,2.9000000953674316,,,61.880027770996094,0.13281256257323681,2025-08-08,2025-08-11,3 days,; partially_closed,TH1.F
181.0,407.0,440.0,2.559999942779541,2.9200000762939453,,3.7671001238822943,65.16002416610718,0.1406250552972792,2025-08-08,2025-09-24,47 days,; partially_closed,TH1.F
207.0,206.0,215.0,2.409809112548828,2.6076290607452393,,,40.948729276657104,0.08208946806877138,2024-10-21,2024-11-01,11 days,; partially_closed,VACE.F
